anio_hidro;Qmin;Qmed_anual;CE
1973;0.0;1.82;0.0
1974;0.0;1.82;0.0
1975;0.0;2.74;0.0
1976;0.0;1.27;0.0
1977;0.0;1.75;0.0
1978;0.0;3.36;0.0
1979;0.0;3.85;0.0
1980;0.0;4.72;0.0
1981;0.0;1.51;0.0
1982;0.0;1.42;0.0
1983;0.0;2.19;0.0
1984;0.0;2.9;0.0
1985;0.0;2.79;0.0
1986;0.0;3.82;0.0
1987;0.0;2.16;0.0
1988;0.96;4.42;0.2171945701357466
1989;0.0;4.25;0.0
1990;0.0;2.6;0.0
1991;0.0;1.78;0.0
1992;0.0;1.04;0.0
1993;0.0;1.06;0.0
1994;0.0;2.37;0.0
1995;0.0;3.4;0.0
1996;0.0;1.83;0.0
1997;0.026;4.34;0.005990783410138248
1998;0.026;4.07;0.006388206388206388
1999;0.0;1.99;0.0
2000;0.0;1.96;0.0
2001;0.0;2.82;0.0
2002;0.0;4.54;0.0
2003;0.0;2.57;0.0
2004;0.0;2.88;0.0
2005;0.0;0.81;0.0
2006;0.0;0.6;0.0
2007;0.0;3.26;0.0
2008;0.0;1.27;0.0
2009;0.0;1.68;0.0
2010;0.0;1.51;0.0
2011;0.036;3.74;0.00962566844919786
2012;0.0;2.49;0.0
2013;0.01;1.19;0.008403361344537816
2014;0.023;2.12;0.010849056603773584
2015;0.0;3.22;0.0
2016;0.026;1.42;0.018309859154929577
2017;0.0;2.77;0.0
2018;0.0;1.12;0.0
2019;0.0;2.82;0.0
2020;0.0;1.77;0.0
2021;0.035;1.91;0.018324607329842934
