anio_hidro;mes;Qmax_inst;Qmd_max;fecha;RI;clase_RI;clase_magnitud
1973;5;;;1973-05-04;;;
1973;6;;2.76;1973-06-01;;;
1973;7;;0.36;1973-07-01;;;
1973;8;;0.0;1973-08-01;;;
1973;9;;0.0;1973-09-01;;;
1974;1;40.5;31.3;1974-01-01;1.293929712460064;Moderada;Significativo
1974;2;26.5;10.15;1974-02-01;2.610837438423645;Flash flood;Notable
1974;3;12.9;10.5;1974-03-01;1.2285714285714286;Moderada;Notable
1974;4;5.8;5.56;1974-04-01;1.0431654676258992;Progresiva;Notable
1974;5;16.9;5.8;1974-05-01;2.913793103448276;Flash flood;Notable
1974;6;58.5;31.7;1974-06-01;1.8454258675078865;Rápida;Significativo
1974;7;10.5;9.8;1974-07-01;1.0714285714285714;Progresiva;Notable
1974;8;0.0;0.0;1974-08-01;;;
1974;9;0.0;0.0;1974-09-01;;;
1974;10;28.1;4.12;1973-10-01;6.820388349514563;Flash flood;Notable
1974;11;48.5;30.5;1973-11-01;1.5901639344262295;Rápida;Significativo
1974;12;23.3;9.1;1973-12-01;2.5604395604395607;Flash flood;Notable
1975;1;12.51;6.77;1975-01-01;1.8478581979320532;Rápida;Notable
1975;2;9.8;5.33;1975-02-01;1.8386491557223266;Rápida;Notable
1975;3;18.51;8.41;1975-03-01;2.2009512485136744;Flash flood;Notable
1975;4;13.71;8.76;1975-04-01;1.565068493150685;Rápida;Notable
1975;5;25.31;12.91;1975-05-01;1.960495739736638;Rápida;Notable
1975;6;2.05;2.05;1975-06-01;1.0;Progresiva;Ordinario
1975;7;0.12;0.08;1975-07-01;1.5;Moderada;Ordinario
1975;8;0.0;0.0;1975-08-01;;;
1975;9;0.0;0.0;1975-09-01;;;
1975;10;;0.0;1974-10-01;;;
1975;11;76.9;21.71;1974-11-01;3.542146476278213;Flash flood;Significativo
1975;12;1.01;0.9;1974-12-01;1.1222222222222222;Progresiva;Ordinario
1976;1;1.5;1.4;1976-01-01;1.0714285714285714;Progresiva;Ordinario
1976;2;9.72;4.38;1976-02-01;2.219178082191781;Flash flood;Notable
1976;3;3.22;1.96;1976-03-01;1.642857142857143;Rápida;Ordinario
1976;4;5.88;4.38;1976-04-01;1.3424657534246576;Moderada;Notable
1976;5;3.22;2.86;1976-05-01;1.125874125874126;Progresiva;Ordinario
1976;6;0.42;0.42;1976-06-01;1.0;Progresiva;Ordinario
1976;7;0.27;0.06;1976-07-01;4.500000000000001;Flash flood;Ordinario
1976;8;0.0;0.0;1976-08-01;;;
1976;9;13.0;10.68;1976-09-01;1.2172284644194757;Moderada;Notable
1976;10;0.0;0.0;1975-10-01;;;
1976;11;76.9;1.1;1975-11-01;;;Significativo
1976;12;14.0;3.46;1975-12-01;4.046242774566474;Flash flood;Notable
1977;1;40.0;20.0;1977-01-01;2.0;Rápida;Significativo
1977;2;40.0;34.4;1977-02-01;1.1627906976744187;Progresiva;Significativo
1977;3;9.08;9.08;1977-03-01;1.0;Progresiva;Notable
1977;4;22.4;7.32;1977-04-01;3.060109289617486;Flash flood;Notable
1977;5;1.4;1.4;1977-05-01;1.0;Progresiva;Ordinario
1977;6;3.87;3.34;1977-06-01;1.158682634730539;Progresiva;Ordinario
1977;7;0.7;0.7;1977-07-01;1.0;Progresiva;Ordinario
1977;8;0.18;0.18;1977-08-01;1.0;Progresiva;Ordinario
1977;9;0.34;0.18;1977-09-01;1.888888888888889;Rápida;Ordinario
1977;10;13.5;13.5;1976-10-01;1.0;Progresiva;Notable
1977;11;107.2;29.6;1976-11-01;3.6216216216216215;Flash flood;Extremo
1977;12;40.0;31.2;1976-12-01;1.2820512820512822;Moderada;Significativo
1978;1;4.72;3.46;1978-01-01;1.3641618497109826;Moderada;Ordinario
1978;2;136.0;107.2;1978-02-01;1.2686567164179103;Moderada;Excepcional
1978;3;44.8;40.0;1978-03-01;1.1199999999999999;Progresiva;Significativo
1978;4;81.6;11.0;1978-04-01;7.418181818181818;Flash flood;Significativo
1978;5;16.0;14.0;1978-05-01;1.1428571428571428;Progresiva;Notable
1978;6;1.96;1.96;1978-06-01;1.0;Progresiva;Ordinario
1978;7;0.78;0.78;1978-07-01;1.0;Progresiva;Ordinario
1978;8;0.0;0.0;1978-08-01;;;
1978;9;0.0;0.0;1978-09-01;;;
1978;10;24.0;10.36;1977-10-01;2.316602316602317;Flash flood;Notable
1978;11;3.87;2.23;1977-11-01;1.73542600896861;Rápida;Ordinario
1978;12;89.6;72.0;1977-12-01;1.2444444444444445;Moderada;Extremo
1979;1;120.0;88.0;1979-01-01;1.3636363636363635;Moderada;Excepcional
1979;2;41.6;40.0;1979-02-01;1.04;Progresiva;Significativo
1979;3;59.2;42.4;1979-03-01;1.3962264150943398;Moderada;Significativo
1979;4;45.6;29.6;1979-04-01;1.5405405405405406;Rápida;Significativo
1979;5;2.98;2.98;1979-05-01;1.0;Progresiva;Ordinario
1979;6;1.78;1.78;1979-06-01;1.0;Progresiva;Ordinario
1979;7;0.7;0.7;1979-07-01;1.0;Progresiva;Ordinario
1979;8;0.0;0.0;1979-08-01;;;
1979;9;0.0;0.0;1979-09-01;;;
1979;10;0.0;0.0;1978-10-01;;;
1979;11;25.6;21.6;1978-11-01;1.1851851851851851;Progresiva;Notable
1979;12;;;1978-12-01;;;
1980;1;2.5;2.5;1980-01-01;1.0;Progresiva;Ordinario
1980;2;2.5;2.5;1980-02-01;1.0;Progresiva;Ordinario
1980;3;7.8;7.56;1980-03-01;1.0317460317460319;Progresiva;Notable
1980;4;5.4;4.72;1980-04-01;1.1440677966101696;Progresiva;Ordinario
1980;5;27.2;14.0;1980-05-01;1.9428571428571428;Rápida;Notable
1980;6;1.6;1.6;1980-06-01;1.0;Progresiva;Ordinario
1980;7;0.3;0.3;1980-07-01;1.0;Progresiva;Ordinario
1980;8;0.0;0.0;1980-08-01;;;
1980;9;0.0;0.0;1980-09-01;;;
1980;10;100.0;46.4;1979-10-01;2.1551724137931036;Flash flood;Extremo
1980;11;2.5;2.5;1979-11-01;1.0;Progresiva;Ordinario
1980;12;3.7;3.7;1979-12-01;1.0;Progresiva;Ordinario
1981;1;1.1;1.1;1981-01-01;1.0;Progresiva;Ordinario
1981;2;20.0;3.58;1981-02-01;5.58659217877095;Flash flood;Notable
1981;3;4.55;3.7;1981-03-01;1.2297297297297296;Moderada;Ordinario
1981;4;16.8;7.8;1981-04-01;2.153846153846154;Flash flood;Notable
1981;5;14.0;9.4;1981-05-01;1.4893617021276595;Moderada;Notable
1981;6;1.96;1.96;1981-06-01;1.0;Progresiva;Ordinario
1981;7;0.12;0.12;1981-07-01;1.0;Progresiva;Ordinario
1981;8;0.0;0.0;1981-08-01;;;
1981;9;19.2;5.4;1981-09-01;3.5555555555555554;Flash flood;Notable
1981;10;3.7;3.7;1980-10-01;1.0;Progresiva;Ordinario
1981;11;5.4;5.4;1980-11-01;1.0;Progresiva;Ordinario
1981;12;1.6;1.6;1980-12-01;1.0;Progresiva;Ordinario
1982;1;14.68;12.4;1982-01-01;1.1838709677419355;Progresiva;Notable
1982;2;5.16;4.14;1982-02-01;1.246376811594203;Moderada;Ordinario
1982;3;5.67;3.8;1982-03-01;1.4921052631578948;Moderada;Notable
1982;4;4.48;3.15;1982-04-01;1.4222222222222225;Moderada;Ordinario
1982;5;8.62;4.48;1982-05-01;1.9241071428571426;Rápida;Notable
1982;6;20.56;6.38;1982-06-01;3.2225705329153604;Flash flood;Notable
1982;7;0.08;0.053;1982-07-01;1.509433962264151;Rápida;Ordinario
1982;8;0.03;0.03;1982-08-01;1.0;Progresiva;Ordinario
1982;9;150.0;9.08;1982-09-01;;;Excepcional
1982;10;13.0;9.77;1981-10-01;1.3306038894575232;Moderada;Notable
1982;11;0.15;0.151;1981-11-01;0.9933774834437086;Progresiva;Ordinario
1982;12;90.0;54.16;1981-12-01;1.6617429837518465;Rápida;Extremo
1983;1;1.3;1.3;1983-01-01;1.0;Progresiva;Ordinario
1983;2;5.0;2.54;1983-02-01;1.968503937007874;Rápida;Ordinario
1983;3;1.238;1.238;1983-03-01;1.0;Progresiva;Ordinario
1983;4;72.8;22.25;1983-04-01;3.2719101123595506;Flash flood;Significativo
1983;5;120.8;28.5;1983-05-01;4.23859649122807;Flash flood;Excepcional
1983;6;3.44;3.05;1983-06-01;1.1278688524590164;Progresiva;Ordinario
1983;7;0.28;0.28;1983-07-01;1.0;Progresiva;Ordinario
1983;8;0.0;0.0;1983-08-01;;;
1983;9;0.034;0.034;1983-09-01;1.0;Progresiva;Ordinario
1983;10;1.3;1.3;1982-10-01;1.0;Progresiva;Ordinario
1983;11;114.4;114.4;1982-11-01;1.0;Progresiva;Excepcional
1983;12;2.2;1.84;1982-12-01;1.1956521739130435;Progresiva;Ordinario
1984;1;8.44;4.34;1984-01-01;1.944700460829493;Rápida;Notable
1984;2;2.05;2.05;1984-02-01;1.0;Progresiva;Ordinario
1984;3;131.7;36.8;1984-03-01;3.578804347826087;Flash flood;Excepcional
1984;4;20.8;15.0;1984-04-01;1.3866666666666667;Moderada;Notable
1984;5;6.29;5.45;1984-05-01;1.1541284403669725;Progresiva;Notable
1984;6;13.0;9.4;1984-06-01;1.3829787234042552;Moderada;Notable
1984;7;1.55;1.55;1984-07-01;1.0;Progresiva;Ordinario
