anio_hidro;std;mean;CV
1973;1.1505693765517895;0.7701639344262294;1.4939278835602205
1974;11.379426018107445;12.345808219178084;0.9217238609320488
1975;6.402906923703585;5.550712328767124;1.1535288706135747
1976;2.8932322567819386;2.53103825136612;1.1431009607303744
1977;12.391700061977467;12.422630136986301;0.99751018305562
1978;32.24212855719737;21.413424657534247;1.5056969668722782
1979;26.85312331453305;20.556526946107784;1.3063064293366675
1980;12.518953035444913;7.2277595628415305;1.732065507519898
1981;2.8431256193969405;3.630849315068493;0.7830469878211697
1982;14.285991299943738;9.05269315068493;1.578092956664819
1983;31.25138110653521;14.606405479452054;2.1395668599299746
1984;18.530170182395704;14.583737704918033;1.27060500931437
1985;42.91310306428974;25.191150684931507;1.7034991216165012
1986;20.51124610831169;12.112572602739727;1.6933847813364005
1987;27.337688490599053;14.004931506849315;1.9520044405236225
1988;12.308003301676381;20.975471698113207;0.5867807636852103
1989;3.8943656797479833;2.813627397260274;1.3841085296297801
1990;11.883474757637169;8.541367123287671;1.3912848594503548
1991;3.864901620161113;3.0563260273972603;1.26455802997314
1992;4.6793078628801466;3.6253196721311474;1.2907297248436609
1993;3.195637132587219;3.165939726027397;1.009380281726679
1994;47.53005201016668;29.352098630136986;1.6193067694779975
1995;4.496846492969681;3.7993671232876713;1.183577776784694
1996;24.186982827217683;19.791131147540984;1.2221122000003966
1997;4.763107719744727;4.80029702970297;0.9922527065037589
1998;21.809556893819664;19.770813698630135;1.103118830932628
1999;6.767556620476128;5.098386301369863;1.3273918884212017
2000;18.793563986318613;10.11848087431694;1.8573503493020431
2001;34.208386888406174;26.334454794520546;1.2989973460746933
2002;7.044541325567338;5.935320547945205;1.186884729925184
2003;14.681803048800973;12.699309589041095;1.1561103338618248
2004;8.54634467411049;6.6879153005464484;1.2778787245424885
2005;6.830844032830648;3.1206493150684933;2.1889175434890933
2006;12.051401594536193;8.748991780821918;1.3774617574739605
2007;17.518394619585557;13.439956164383561;1.3034562319488827
2008;7.665123412130447;7.03753825136612;1.0891768027893134
2009;2.2100669586165416;2.0668520547945204;1.0692913184036577
2010;14.931449234073556;12.684109589041096;1.1771775645153786
2011;16.43944647646665;12.55146301369863;1.309763368503312
2012;5.323874394125111;4.613718579234972;1.153922655379621
2013;9.205162520305908;8.894805479452055;1.0348919424456005
2014;9.266741084424254;9.455808219178081;0.980005185133687
2015;7.465143866474541;7.05268493150685;1.0584825409008547
2016;11.85231643996168;11.11513387978142;1.0663224184389901
2017;13.897467832127175;9.10775890410959;1.5258932497495492
2018;12.169694286210538;7.996509589041096;1.5218757822648805
2019;4.8693732467873785;4.750290410958904;1.0250685380316436
2020;15.248769839775495;8.978428961748634;1.6983784028075277
2021;9.351676623081962;7.921334246575342;1.1805683653767047
