Indicador;Valor
RBI medio anual;0.350
RBI Invierno;0.311
RBI Primavera;0.246
RBI Verano;0.160
RBI Otoño;0.518
RI medio;2.25
CT medio;56.2
CV medio;1.31
CE medio;0.01
Qmax absoluto (m³/s);291.08
Qmed histórico (m³/s);2.44
N eventos extremos;420
Duración media eventos (días);5.9
