evento_id;fecha_inicio;fecha_fin;Qmax_evento;Qmed_evento;volumen_total;duracion_dias;Qbase;ratio_Qmax_Qbase
1;1973-05-04;1973-05-07;14.5;9.925;39.7;4;;
2;1973-05-18;1973-05-25;22.9;12.411249999999999;99.28999999999999;8;2.7600000000000002;8.297101449275361
3;1973-06-06;1973-06-11;2.76;2.52;15.12;6;1.84;1.4999999999999998
4;1973-07-01;1973-07-04;0.36;0.28500000000000003;1.1400000000000001;4;0.6414285714285715;0.5612472160356347
5;1973-07-16;1973-07-17;0.36;0.36;0.72;2;0.0;inf
6;1973-10-16;1973-10-17;4.12;3.56;7.12;2;0.29857142857142854;13.799043062200958
7;1973-11-03;1973-11-06;30.5;17.205;68.82;4;0.4328571428571429;70.46204620462046
8;1973-12-20;1973-12-20;6.28;6.28;6.28;1;0.4714285714285714;13.321212121212122
9;1973-12-22;1973-12-24;9.1;7.539999999999999;22.619999999999997;3;1.8885714285714283;4.818456883509834
10;1974-01-05;1974-01-15;31.3;16.695454545454545;183.65;11;3.3885714285714283;9.236930860033727
11;1974-02-12;1974-02-12;7.7;7.7;7.7;1;4.4628571428571435;1.725352112676056
12;1974-02-15;1974-02-16;10.15;8.925;17.85;2;4.691428571428572;2.1635200974421434
13;1974-03-25;1974-03-30;10.5;6.823333333333333;40.94;6;3.217142857142857;3.2637655417406752
14;1974-05-15;1974-05-16;5.56;5.46;10.92;2;3.2857142857142856;1.6921739130434783
15;1974-05-30;1974-06-03;5.8;3.8560000000000003;19.28;5;1.5885714285714285;3.6510791366906474
16;1974-06-16;1974-06-16;2.16;2.16;2.16;1;0.7814285714285714;2.7641681901279713
17;1974-06-23;1974-07-24;31.7;5.755625;184.18;32;1.1428571428571428;27.7375
18;1974-11-15;1974-11-16;21.71;14.36;28.72;2;0.0;inf
19;1975-03-03;1975-03-04;8.41;6.99;13.98;2;2.1228571428571428;3.96164199192463
20;1975-04-25;1975-04-25;8.76;8.76;8.76;1;3.857142857142857;2.271111111111111
21;1975-05-19;1975-05-23;12.91;8.474;42.370000000000005;5;1.3085714285714285;9.865720524017467
22;1975-06-01;1975-06-01;2.05;2.05;2.05;1;2.5599999999999996;0.80078125
23;1976-09-25;1976-09-30;10.68;5.256666666666667;31.54;6;0.004285714285714286;2492.0
24;1976-10-11;1976-10-17;7.08;4.821428571428571;33.75;7;1.4999999999999998;4.720000000000001
25;1976-10-20;1976-10-20;13.5;13.5;13.5;1;3.7685714285714282;3.582259287338893
26;1976-10-29;1976-10-31;3.87;3.516666666666667;10.55;3;1.8671428571428572;2.0726855394032135
27;1976-11-04;1976-11-04;7.8;7.8;7.8;1;3.77;2.0689655172413794
28;1976-11-09;1976-11-13;29.6;13.256;66.28;5;4.938571428571429;5.993636100665317
29;1976-12-07;1976-12-08;14.0;11.7;23.4;2;1.4028571428571428;9.979633401221996
30;1976-12-31;1977-01-04;31.2;17.2;86.0;5;3.5300000000000002;8.838526912181303
31;1977-01-15;1977-01-16;13.0;10.719999999999999;21.439999999999998;2;4.092857142857143;3.1762652705061076
32;1977-01-27;1977-01-27;7.8;7.8;7.8;1;4.914285714285714;1.5872093023255816
33;1977-02-03;1977-02-05;11.0;9.933333333333334;29.8;3;6.174285714285714;1.7815826006478481
34;1977-02-10;1977-02-12;34.4;19.153333333333332;57.46;3;7.842857142857143;4.38615664845173
35;1977-02-19;1977-03-07;22.4;9.042352941176471;153.72;17;5.812857142857142;3.8535266650282627
36;1977-03-11;1977-03-11;5.4;5.4;5.4;1;5.211428571428571;1.036184210526316
37;1977-04-05;1977-04-05;7.32;7.32;7.32;1;1.7542857142857142;4.172638436482085
38;1977-06-11;1977-06-17;3.34;2.35;16.45;7;1.1557142857142857;2.8899876390605685
39;1977-07-01;1977-07-13;0.7;0.31769230769230766;4.13;13;0.9800000000000002;0.7142857142857141
40;1977-07-16;1977-07-16;0.18;0.18;0.18;1;0.19714285714285712;0.9130434782608696
41;1977-07-19;1977-07-19;0.18;0.18;0.18;1;0.1457142857142857;1.2352941176470589
42;1977-08-01;1977-08-17;0.09;0.06352941176470589;1.08;17;0.06;1.5
43;1977-08-19;1977-09-04;0.18;0.1376470588235294;2.34;17;0.055714285714285716;3.2307692307692304
44;1977-09-06;1977-09-20;0.18;0.114;1.71;15;0.12857142857142856;1.4000000000000001
45;1977-09-24;1977-09-30;0.06;0.06;0.42;7;0.0642857142857143;0.9333333333333332
46;1977-10-09;1977-10-10;7.56;5.21;10.42;2;0.5928571428571429;12.751807228915663
47;1977-10-18;1977-10-26;10.36;5.045555555555556;45.41;9;1.2542857142857142;8.259681093394077
48;1977-12-07;1977-12-13;48.8;21.534285714285716;150.74;7;2.897142857142857;16.844181459566077
49;1977-12-19;1977-12-25;72.0;22.314285714285713;156.2;7;5.8257142857142865;12.35899950956351
50;1978-02-16;1978-02-16;7.56;7.56;7.56;1;1.8828571428571426;4.0151745068285285
51;1978-02-18;1978-03-08;107.2;29.402105263157893;558.64;19;3.234285714285714;33.14487632508834
52;1978-04-29;1978-05-07;14.0;8.034444444444444;72.31;9;2.774285714285714;5.0463439752832135
53;1978-06-04;1978-06-07;1.96;1.96;7.84;4;1.7799999999999998;1.101123595505618
54;1978-06-10;1978-06-10;1.96;1.96;1.96;1;1.8828571428571428;1.0409711684370258
55;1978-07-01;1978-07-09;0.78;0.42444444444444446;3.8200000000000003;9;1.0399999999999998;0.7500000000000001
56;1978-11-09;1978-11-10;21.6;14.22;28.44;2;0.7928571428571429;27.243243243243242
57;1978-12-08;1978-12-18;48.0;26.32;105.28;11;2.662857142857143;18.025751072961373
58;1978-12-24;1979-01-09;60.8;18.094117647058823;307.6;17;4.962857142857142;12.251007484168108
59;1979-01-19;1979-01-23;23.2;12.924000000000001;64.62;5;4.161428571428571;5.575008582217645
60;1979-01-26;1979-02-21;88.0;19.72074074074074;532.46;27;11.117142857142856;7.9157029041377545
61;1979-03-07;1979-03-08;7.56;6.72;13.44;2;3.748571428571428;2.016768292682927
62;1979-03-19;1979-03-19;5.4;5.4;5.4;1;4.015714285714286;1.3447171824973319
63;1979-03-24;1979-03-31;42.4;14.969999999999999;119.75999999999999;8;4.768571428571428;8.891551827441583
64;1979-04-09;1979-04-14;29.6;15.603333333333333;93.62;6;4.914285714285714;6.023255813953489
65;1979-04-17;1979-04-18;7.56;7.56;15.12;2;10.757142857142856;0.7027888446215139
66;1979-07-01;1979-07-14;0.7;0.6;8.4;14;0.8142857142857143;0.8596491228070174
67;1979-10-06;1979-10-29;46.4;11.315416666666666;271.57;24;0.09999999999999999;464.0
68;1980-03-28;1980-03-29;7.56;6.48;12.96;2;3.4828571428571427;2.170631665299426
