anio_hidro;Qmax_inst;Qmed_anual;CT
1973;;1.82;
1974;58.5;1.82;32.14285714285714
1975;76.9;2.74;28.065693430656935
1976;76.9;1.27;60.55118110236221
1977;107.2;1.75;61.25714285714286
1978;136.0;3.36;40.476190476190474
1979;120.0;3.85;31.16883116883117
1980;100.0;4.72;21.186440677966104
1981;20.0;1.51;13.245033112582782
1982;150.0;1.42;105.63380281690141
1983;120.8;2.19;55.15981735159817
1984;148.24;2.9;51.11724137931035
1985;80.0;2.79;28.67383512544803
1986;95.998;3.82;25.1303664921466
1987;132.8;2.16;61.48148148148148
1988;136.0;4.42;30.76923076923077
1989;15.676;4.25;3.688470588235294
1990;49.272;2.6;18.95076923076923
1991;27.499;1.78;15.448876404494381
1992;35.155;1.04;33.80288461538461
1993;51.774;1.06;48.843396226415095
1994;291.08;2.37;122.81856540084387
1995;76.878;3.4;22.611176470588237
1996;185.456;1.83;101.34207650273223
1997;50.685;4.34;11.678571428571429
1998;189.333;4.07;46.51916461916461
1999;211.735;1.99;106.39949748743719
2000;252.703;1.96;128.93010204081634
2001;219.529;2.82;77.84716312056737
2002;102.739;4.54;22.629735682819383
2003;98.1;2.57;38.17120622568093
2004;121.465;2.88;42.17534722222222
2005;239.787;0.81;296.0333333333333
2006;109.632;0.6;182.72000000000003
2007;137.882;3.26;42.29509202453988
2008;89.472;1.27;70.4503937007874
2009;17.105;1.68;10.18154761904762
2010;119.044;1.51;78.83708609271523
2011;93.9;3.74;25.106951871657753
2012;92.188;2.49;37.023293172690764
2013;84.834;1.19;71.2890756302521
2014;108.149;2.12;51.013679245283015
2015;104.413;3.22;32.426397515527945
2016;110.699;1.42;77.95704225352112
2017;105.478;2.77;38.07870036101083
2018;85.086;1.12;75.96964285714284
2019;43.049;2.82;15.265602836879433
2020;112.265;1.77;63.42655367231638
2021;78.156;1.91;40.9193717277487
