estacion;RBI_medio;RBI_sd
Invierno;0.3109750411585621;0.1685881018063801
Otoño;0.5180210090091545;0.16550553718225225
Primavera;0.24621673006047315;0.13811838138865234
Verano;0.1602950209703587;0.10332784938333404
