anio_hidro;estacion;RBI
1973;Otoño;
1973;Primavera;0.2973275724115859
1973;Verano;0.11938382541720152
1974;Invierno;0.26817888626101916
1974;Otoño;0.5119634837664728
1974;Primavera;0.13853695804418414
1974;Verano;0.3313620576363465
1975;Invierno;0.22816356157754655
1975;Otoño;0.7195891415994132
1975;Primavera;0.20749949464321815
1975;Verano;0.09596178897090749
1976;Invierno;0.1814494798095574
1976;Otoño;0.5972696245733787
1976;Primavera;0.10634670034733186
1976;Verano;0.34920634920634913
1977;Invierno;0.37015204280981906
1977;Otoño;0.45523582775748117
1977;Primavera;0.1109708825385378
1977;Verano;0.12349045578496304
1978;Invierno;0.7271996157583747
1978;Otoño;0.3979476476215323
1978;Primavera;0.25193122352354846
1978;Verano;0.05610972568578552
1979;Invierno;0.4734294414814032
1979;Otoño;0.743417656169334
1979;Primavera;0.2871312662421393
1979;Verano;0.06541176470588236
1980;Invierno;0.03512819168458029
1980;Otoño;0.44625907734956466
1980;Primavera;0.16027159882590084
1980;Verano;0.05536332179930797
1981;Invierno;0.0965964343598055
1981;Otoño;0.3076669957222771
1981;Primavera;0.1519023282226008
1981;Verano;0.08742194469223906
1982;Invierno;0.3432081199916249
1982;Otoño;0.5212984723854287
1982;Primavera;0.11450291939339316
1982;Verano;0.2976332179930795
1983;Invierno;0.06844814160636623
1983;Otoño;0.8564124726236604
1983;Primavera;0.3709807754653712
1983;Verano;0.08490997365613635
1984;Invierno;0.35322535604579736
1984;Otoño;0.5847758996130529
1984;Primavera;0.240899525277737
1984;Verano;0.16466964778351492
1985;Invierno;0.5747451527879743
1985;Otoño;0.5183123572285413
1985;Primavera;0.21825312947697223
1985;Verano;0.13545565006075333
1986;Invierno;0.6642151483846563
1986;Otoño;0.6716703637302865
1986;Primavera;0.07596108119224194
1986;Verano;0.10181121838346764
1987;Invierno;0.4333351716024192
1987;Otoño;0.37796867104598275
1987;Primavera;0.2884354261890647
1987;Verano;0.09688733011836916
1988;Invierno;0.2909652631995881
1988;Otoño;0.4552497538843471
1988;Primavera;0.25459554219884795
1988;Verano;0.28665484932894414
1989;Invierno;0.10689116055321705
1989;Otoño;0.5103290705423158
1989;Primavera;0.14330112128168068
1989;Verano;0.1290365685270144
1990;Invierno;0.16545660824578823
1990;Otoño;0.4672551808280104
1990;Primavera;0.1378501789460694
1990;Verano;0.06695927324691232
1991;Invierno;0.18045323137181754
1991;Otoño;0.2583729250982463
1991;Primavera;0.15641781352249165
1991;Verano;0.06849946244816466
1992;Invierno;0.20444241990412354
1992;Otoño;0.22714001607921122
1992;Primavera;0.39399121384556424
1992;Verano;0.2016175506229756
1993;Invierno;0.17120541947805093
1993;Otoño;0.33673469387755106
1993;Primavera;0.23944582233245323
1993;Verano;0.1276454427437128
1994;Invierno;0.43463561078020385
1994;Otoño;0.5015516965796208
1994;Primavera;0.27257513041424347
1994;Verano;0.10750558694743727
1995;Invierno;0.4901420826762697
1995;Otoño;0.3425863591456324
1995;Primavera;0.21950474410580795
1995;Verano;0.3644349916774552
1996;Invierno;0.5567252881110764
1996;Otoño;0.5382728905782197
1996;Primavera;0.3256936562123717
1996;Verano;0.13912759353046888
1997;Invierno;0.08370350514983328
1997;Otoño;0.2930266735248733
1997;Primavera;0.22871255463558504
1997;Verano;0.38571673688826197
1998;Invierno;0.4638258556317426
1998;Otoño;0.5566949026601277
1998;Primavera;0.23353886980955352
1998;Verano;0.2029717780806436
1999;Invierno;0.26714097564754796
1999;Otoño;0.7830816879597368
1999;Primavera;0.30857645936758704
1999;Verano;0.18910294291454907
2000;Invierno;0.1553076411459837
2000;Otoño;0.5067083594542677
2000;Primavera;0.41210400328733526
2000;Verano;0.08445523431177812
2001;Invierno;0.46175043635377844
2001;Otoño;0.846525511422431
2001;Primavera;0.5479701084667722
2001;Verano;0.08888160052476221
2002;Invierno;0.47372852369300394
2002;Otoño;0.5855245105160363
2002;Primavera;0.17182181494944826
2002;Verano;0.13955252180508154
2003;Invierno;0.44469081016058615
2003;Otoño;0.42552588971860206
2003;Primavera;0.2991895921890549
2003;Verano;0.0862708719851577
2004;Invierno;0.18037030285669647
2004;Otoño;0.6036147250860763
2004;Primavera;0.2638750858751258
2004;Verano;0.20359701027717228
2005;Invierno;0.10901926444833626
2005;Otoño;0.834366323583027
2005;Primavera;0.9168564920273347
2005;Verano;0.13861386138613865
2006;Invierno;0.29953507874064306
2006;Otoño;0.7325920406288209
2006;Primavera;0.43121611704268364
2006;Verano;0.0948012232415902
2007;Invierno;0.2831337901491763
2007;Otoño;0.4687920925159684
2007;Primavera;0.17002198656874914
2007;Verano;0.3788073250899985
2008;Invierno;0.21510244714537197
2008;Otoño;0.5791805544264694
2008;Primavera;0.26559518458208925
2008;Verano;0.0894356942883806
2009;Invierno;0.19041999835617082
2009;Otoño;0.21305688700627945
2009;Primavera;0.0984000442894314
2009;Verano;0.1121143717080512
2010;Invierno;0.4110588738258525
2010;Otoño;0.9091128109377822
2010;Primavera;0.15764157326705477
2010;Verano;0.2359669655081041
2011;Invierno;0.4102166583246448
2011;Otoño;0.5074677364783219
2011;Primavera;0.2283552564738506
2011;Verano;0.14754809778677852
2012;Invierno;0.052280588249931564
2012;Otoño;0.4896485159717187
2012;Primavera;0.3210786066804949
2012;Verano;0.04698109744907323
2013;Invierno;0.253624536468604
2013;Otoño;0.39385264656531244
2013;Primavera;0.20655599915948725
2013;Verano;0.0630687166614371
2014;Invierno;0.38656553587199344
2014;Otoño;0.413052874225616
2014;Primavera;0.18472565380785871
2014;Verano;0.16442480143479377
2015;Invierno;0.17012902509085714
2015;Otoño;0.5510600025697032
2015;Primavera;0.17211026175584895
2015;Verano;0.4652530568023525
2016;Invierno;0.3131982493840217
2016;Otoño;0.3823785088378882
2016;Primavera;0.24252120938734179
2016;Verano;0.08031614602935644
2017;Invierno;0.4566032273531904
2017;Otoño;0.6022666354582725
2017;Primavera;0.2210740290024542
2017;Verano;0.3053760050449314
2018;Invierno;0.6258415791084363
2018;Otoño;0.450921695289113
2018;Primavera;0.2599535029587019
2018;Verano;0.17025549481200486
2019;Invierno;0.23206979016867546
2019;Otoño;0.35011533046421767
2019;Primavera;0.34153433236412445
2019;Verano;0.09217123023524874
2020;Invierno;0.3060690666099243
2020;Otoño;0.4965556452809044
2020;Primavera;0.150030192892707
2020;Verano;0.09943135662063363
2021;Invierno;0.26302438719489957
2021;Otoño;0.5426055940582885
2021;Primavera;0.06683473746915154
2021;Verano;0.13278229569390748
