anio_hidro;estacion;RBI
2002;Verano;0.05716768764440297
2003;Invierno;0.4981803432622696
2003;Otoño;0.4472494384633258
2003;Primavera;0.24601555053401986
2003;Verano;0.04992518024758535
2004;Invierno;0.14801874937124132
2004;Otoño;0.48534002379708935
2004;Primavera;0.18378075740297803
2004;Verano;0.11294802057484678
2005;Invierno;0.09570910047920343
2005;Otoño;0.5448292422842582
2005;Primavera;0.4819499680856287
2005;Verano;0.3637982195845697
2006;Invierno;0.14831715210355992
2006;Otoño;0.7249784792405086
2006;Primavera;0.3394000863655001
2006;Verano;0.052151594582787245
2007;Invierno;0.15271187912748937
2007;Otoño;0.6844671437194517
2007;Primavera;0.09751078377818381
2007;Verano;0.46524689913409795
2008;Invierno;0.19529568971424655
2008;Otoño;0.4478452468853651
2008;Primavera;0.3484118849049194
2008;Verano;0.09360873651702992
2009;Invierno;0.14790706555228644
2009;Otoño;0.14944841012329657
2009;Primavera;0.08473088398444653
2009;Verano;0.16579245088964312
2010;Invierno;0.3866258242157963
2010;Otoño;0.5458185136217204
2010;Primavera;0.17904594889133985
2010;Verano;0.10344556942155247
2011;Invierno;0.32778743126360554
2011;Otoño;0.42033935837462294
2011;Primavera;0.21522768627125577
2011;Verano;0.0801973940101128
2012;Invierno;0.03450173740891953
2012;Otoño;0.6394571003405608
2012;Primavera;0.2797311449938785
2012;Verano;0.04694504931471755
2013;Invierno;0.3675853342386272
2013;Otoño;0.6344202950909698
2013;Primavera;0.24066698427822772
2013;Verano;0.08909040776936981
2014;Invierno;0.5117855389863786
2014;Otoño;0.6470992490780102
2014;Primavera;0.2536481281564239
2014;Verano;0.07421383647798742
2015;Invierno;0.24929264378983937
2015;Otoño;0.6636623048011304
2015;Primavera;0.23448736232059958
2015;Verano;0.30862579281183933
2016;Invierno;0.2794128380675123
2016;Otoño;0.4735051421878169
2016;Primavera;0.28479519167382494
2016;Verano;0.08768520481473625
2017;Invierno;0.3306371461780775
2017;Otoño;0.6877324829038776
2017;Primavera;0.1701613593630602
2017;Verano;0.1747780559981789
2018;Invierno;0.4501580415688569
2018;Otoño;0.5353515497018546
2018;Primavera;0.3505953325184059
2018;Verano;0.12273685834790664
2019;Invierno;0.1314160187299477
2019;Otoño;0.4948686861787508
2019;Primavera;0.2984970347568418
2019;Verano;0.10149422046800113
2020;Invierno;0.32502959353951505
2020;Otoño;0.44333520006400207
2020;Primavera;0.19350715928428514
2020;Verano;0.06561358263485921
2021;Invierno;0.2804217529375773
2021;Otoño;0.5343389120919845
2021;Primavera;0.04637071843699765
2021;Verano;0.09429575281595538
