evento_id;fecha_inicio;fecha_fin;Qmax_evento;Qmed_evento;volumen_total;duracion_dias;Qbase;ratio_Qmax_Qbase
50;1983-05-06;1983-05-06;7.52;7.52;7.52;1;6.287142857142856;1.1960917973187914
51;1983-05-12;1983-05-13;14.2;13.899999999999999;27.799999999999997;2;5.8914285714285715;2.4102812803103784
52;1983-05-16;1983-05-16;7.04;7.04;7.04;1;7.659999999999998;0.9190600522193213
53;1983-07-01;1983-07-04;1.74;1.59625;6.385;4;1.8385714285714287;0.9463869463869463
54;1983-08-01;1983-09-30;1.05;0.9872950819672132;60.225;61;0.9000000000000001;1.1666666666666665
55;1983-11-10;1983-11-10;9.44;9.44;9.44;1;2.61;3.6168582375478926
56;1983-11-14;1983-11-16;9.44;9.093333333333334;27.28;3;4.912857142857142;1.9214888048851413
57;1983-11-20;1983-11-22;14.96;13.6;40.8;3;5.800714285714285;2.5789927348848667
58;1983-12-18;1983-12-18;8.02;8.02;8.02;1;4.222857142857143;1.8991880920162378
59;1983-12-20;1983-12-21;13.56;10.315000000000001;20.630000000000003;2;5.031428571428571;2.6950596252129473
60;1984-07-01;1984-07-28;2.15;1.58125;44.275;28;1.8250000000000004;1.1780821917808215
61;1984-08-20;1984-08-20;0.47;0.47;0.47;1;0.21;2.238095238095238
62;1984-08-27;1984-08-31;0.47;0.4699999999999999;2.3499999999999996;5;0.24999999999999997;1.8800000000000001
63;1984-11-07;1984-11-09;14.2;11.373333333333333;34.12;3;1.7249999999999999;8.231884057971016
64;1984-11-16;1984-11-16;8.02;8.02;8.02;1;7.980000000000001;1.0050125313283207
65;1984-11-30;1984-12-08;12.28;7.501111111111111;67.51;9;6.798571428571429;1.8062618197100229
66;1985-01-21;1985-01-22;17.24;13.989999999999998;27.979999999999997;2;2.0542857142857143;8.392211404728789
67;1985-02-09;1985-02-09;8.4;8.4;8.4;1;2.5778571428571433;3.2585203657522857
68;1985-08-01;1985-08-31;0.75;0.75;23.25;31;0.75;1.0
69;1986-02-24;1986-02-24;8.209;8.209;8.209;1;5.273285714285715;1.5567144366483352
70;1986-08-01;1986-08-31;0.75;0.75;23.25;31;0.75;1.0
71;1986-09-16;1986-09-18;6.879;3.376;10.128;3;0.75;9.171999999999999
72;1986-09-25;1986-09-30;1.1;1.1;6.6000000000000005;6;0.6892857142857143;1.5958549222797929
73;1986-11-14;1986-11-15;58.8;35.1;70.2;2;1.75;33.6
74;1987-01-26;1987-03-03;52.4;15.339459459459459;567.56;37;2.6914285714285717;19.469214437367302
75;1987-04-07;1987-04-10;39.0;20.22;80.88;4;5.759999999999999;6.770833333333335
76;1987-04-15;1987-05-18;11.4;11.28;383.52;34;11.428571428571429;0.9975
77;1987-08-01;1987-08-31;0.565;0.565;17.514999999999997;31;0.565;1.0
78;1987-09-25;1987-09-30;16.2;5.823333333333333;34.94;6;0.565;28.672566371681416
79;1989-11-17;1989-12-02;58.991;26.825;429.2;16;0.4170000000000001;141.46522781774578
80;1989-12-04;1990-01-12;89.35;31.794774999999998;1271.791;40;17.756;5.0321018247353
81;1990-01-27;1990-02-11;23.178;11.0793125;177.269;16;4.685857142857143;4.946373586171153
82;1990-04-01;1990-04-02;16.656;15.9285;31.857;2;4.829;3.449161317042866
83;1990-04-06;1990-04-12;24.037;14.085142857142857;98.596;7;9.703571428571427;2.477129186602871
84;1990-10-16;1990-10-19;12.465;9.12625;36.505;4;0.6142857142857142;20.29186046511628
85;1990-10-22;1990-10-25;18.971;14.493;57.972;4;6.545571428571429;2.898295466946027
86;1990-11-08;1990-11-10;105.959;44.63433333333333;133.903;3;2.872857142857143;36.88279462953754
87;1991-01-11;1991-01-13;29.803;20.365;61.095;3;0.7547142857142857;39.48911603255726
88;1991-03-05;1991-03-22;54.84;15.185722222222223;273.343;18;2.6297142857142854;20.85397653194264
89;1991-10-27;1991-10-29;10.675;8.527666666666667;25.583000000000002;3;0.46328571428571436;23.041936478569223
90;1992-01-08;1992-01-09;32.905;25.1665;50.333;2;0.309;106.48867313915858
91;1992-04-03;1992-04-04;41.964;26.916;53.832;2;0.6861428571428572;61.15927545284197
92;1992-05-29;1992-05-29;39.546;39.546;39.546;1;0.3352857142857143;117.94716659565402
93;1992-09-27;1992-09-27;1.575;1.575;1.575;1;0.06371428571428571;24.719730941704036
94;1992-10-16;1992-10-17;23.178;14.425;28.85;2;0.0;inf
95;1992-10-30;1992-10-30;11.272;11.272;11.272;1;1.4741428571428572;7.6464773718383565
