Indicador;Valor
RBI medio anual;0.323
RBI Invierno;0.264
RBI Primavera;0.231
RBI Verano;0.116
RBI Otoño;0.475
RI medio;2.22
CT medio;77.7
CV medio;1.28
CE medio;0.03
Qmax absoluto (m³/s);699.70
Qmed histórico (m³/s);3.38
N eventos extremos;334
Duración media eventos (días);7.1
