anio_hidro;Qmax_inst;Qmed_anual;CT
1973;;3.29;
1974;79.16;3.29;24.06079027355623
1975;39.8;3.42;11.637426900584794
1976;40.4;1.85;21.837837837837835
1977;107.0;2.36;45.33898305084746
1978;87.8;2.8;31.357142857142858
1979;104.0;2.36;44.067796610169495
1980;80.0;3.31;24.169184290030213
1981;21.0;1.78;11.797752808988763
1982;500.0;1.23;406.5040650406504
1983;34.7;1.74;19.942528735632184
1984;500.0;2.38;210.0840336134454
1985;250.0;2.25;111.11111111111111
1986;61.399;1.22;50.32704918032787
1987;200.0;1.99;100.50251256281408
1990;500.0;17.32;28.868360277136258
1991;407.554;3.99;102.14385964912279
1992;201.779;2.02;99.89059405940594
1993;252.492;1.48;170.6027027027027
1994;359.868;4.0;89.967
1995;119.888;4.19;28.61288782816229
1996;699.698;3.27;213.9749235474006
1997;415.595;9.0;46.17722222222223
1998;493.82;5.49;89.94899817850637
1999;255.56;2.55;100.21960784313727
2000;498.272;2.71;183.86420664206642
2001;369.402;2.86;129.16153846153847
2002;236.762;5.4;43.84481481481481
2003;341.831;7.43;46.006864064602965
2004;268.746;7.48;35.92860962566844
2005;381.602;3.66;104.26284153005463
2006;247.697;1.6;154.810625
2007;272.901;4.48;60.91540178571428
2008;138.803;1.97;70.45837563451776
2009;32.22;2.8;11.507142857142858
2010;133.794;2.31;57.91948051948052
2011;149.357;5.55;26.911171171171173
2012;151.51;4.45;34.04719101123595
2013;194.768;1.76;110.66363636363636
2014;218.427;3.85;56.73428571428571
2015;223.299;5.65;39.52194690265487
2016;138.552;2.47;56.09392712550606
2017;88.985;4.46;19.951793721973093
2018;136.716;1.68;81.37857142857143
2019;61.075;3.71;16.462264150943398
2020;225.678;2.72;82.96985294117647
2021;165.443;2.37;69.80717299578059
