anio_hidro;RBI
1975;0.058463486703250314
1976;0.12503293807641636
1977;0.13820234951279486
1978;0.12438931059952124
1979;0.13530539578197753
1980;0.0736108965943316
1981;0.09043771523149342
1982;0.10928101462680381
1983;0.0909181189024077
1984;0.16008911290614875
1985;0.17344867737121092
1986;0.1365626484959372
1987;0.3126050551031353
1990;0.27595403963508086
1991;0.38007717570909716
1992;0.17423167525394295
1993;0.11416027333117221
1994;0.22689219798352214
1995;0.35802859000632686
1996;0.4979700707201169
1997;0.3756462308632279
1998;0.45653133235699006
1999;0.3987689186541099
2000;0.3892072823466168
2001;0.6334907401870615
2002;0.3709568998240106
2003;0.2552268504336025
2004;0.33215092877590985
2005;0.3487762367096436
2006;0.4418322914885246
2007;0.33467975625234153
2008;0.3982113290634601
2009;0.16601232070614194
2010;0.32999854827828656
2011;0.32592896836862545
2012;0.35909132863260174
2013;0.25095457398518844
2014;0.35039673919070824
2015;0.391394999679584
2016;0.33341764608928276
2017;0.29856411723370246
2018;0.3143491191696618
2019;0.20740168492278832
2020;0.41459787897028744
2021;0.3404345334216264
