fecha_inicio;duracion_dias;Qmax_evento;ratio_Qmax_Qbase
2000-12-22;30;438.577;88.3362778385222
1997-12-17;15;160.602;43.04364805881002
1995-12-22;50;147.457;48.98206235467186
2001-03-02;30;111.244;25.538108356290174
2001-02-05;13;106.434;9.249729971321091
1999-10-20;13;98.81;35.028360174212494
2009-12-28;24;97.749;7.769308504598615
1996-12-11;18;95.646;82.93348197696025
2019-12-16;10;86.811;49.93647793573835
1987-04-07;3;80.333;38.44209734755263
