Qmd;prob_excedencia
438.577;0.006137228427642077
201.842;0.012274456855284154
160.602;0.018411685282926228
147.457;0.024548913710568308
127.749;0.030686142138210387
124.23;0.036823370565852456
111.244;0.04296059899349454
106.434;0.049097827421136615
104.909;0.05523505584877869
104.779;0.061372284276420774
98.81;0.06750951270406284
97.749;0.07364674113170491
95.646;0.07978396955934701
89.896;0.08592119798698908
86.811;0.09205842641463115
84.267;0.09819565484227323
82.778;0.10433288326991531
82.778;0.11047011169755738
80.333;0.11660734012519947
76.846;0.12274456855284155
75.997;0.1288817969804836
74.769;0.1350190254081257
73.48;0.14115625383576777
73.427;0.14729348226340983
71.568;0.15343071069105194
69.573;0.15956793911869402
68.321;0.16570516754633607
68.288;0.17184239597397816
68.288;0.17797962440162024
67.032;0.1841168528292623
66.019;0.19025408125690438
64.82;0.19639130968454646
63.385;0.20252853811218852
63.385;0.20866576653983063
63.385;0.21480299496747268
62.219;0.22094022339511477
61.819;0.22707745182275688
61.745;0.23321468025039893
61.053;0.239351908678041
59.899;0.2454891371056831
59.886;0.2516263655333252
59.258;0.2577635939609672
59.136;0.26390082238860935
58.886;0.2700380508162514
58.72;0.27617527924389346
58.72;0.28231250767153554
57.883;0.2884497360991776
57.619;0.29458696452681965
57.554;0.3007241929544618
56.747;0.30686142138210387
56.016;0.3129986498097459
55.193;0.31913587823738804
54.055;0.32527310666503007
54.021;0.33141033509267215
53.676;0.33754756352031423
51.912;0.3436847919479563
50.912;0.34982202037559834
50.785;0.3559592488032405
50.062;0.36209647723088256
49.864;0.3682337056585246
49.803;0.37437093408616673
49.803;0.38050816251380876
48.817;0.38664539094145084
47.769;0.3927826193690929
47.695;0.398919847796735
47.695;0.40505707622437703
46.815;0.4111943046520191
46.43;0.41733153307966125
46.329;0.42346876150730334
45.673;0.42960598993494536
45.586;0.43574321836258745
44.626;0.44188044679022953
44.626;0.44801767521787156
44.531;0.45415490364551375
44.295;0.4602921320731558
44.105;0.46642936050079786
43.578;0.4725665889284399
43.555;0.478703817356082
42.711;0.48484104578372406
42.619;0.4909782742113662
42.619;0.4971155026390083
41.896;0.5032527310666504
41.767;0.5093899594942923
41.66;0.5155271879219344
41.66;0.5216644163495765
41.66;0.5278016447772187
41.66;0.5339388732048607
41.603;0.5400761016325027
41.308;0.5462133300601448
41.04;0.5523505584877869
41.04;0.558487786915429
40.746;0.5646250153430711
40.491;0.5707622437707132
39.743;0.5768994721983552
39.491;0.5830367006259973
39.165;0.5891739290536393
38.839;0.5953111574812814
38.784;0.6014483859089236
38.394;0.6075856143365657
38.065;0.6137228427642077
37.856;0.6198600711918497
37.856;0.6259972996194918
36.985;0.6321345280471339
35.982;0.6382717564747761
35.427;0.644408984902418
35.267;0.6505462133300601
35.199;0.6566834417577022
34.287;0.6628206701853443
34.199;0.6689578986129864
34.148;0.6750951270406285
34.108;0.6812323554682705
34.108;0.6873695838959126
33.447;0.6935068123235547
33.447;0.6996440407511967
33.447;0.7057812691788388
33.199;0.711918497606481
32.816;0.718055726034123
32.63;0.7241929544617651
32.607;0.7303301828894071
32.607;0.7364674113170492
32.607;0.7426046397446913
32.607;0.7487418681723335
32.47;0.7548790965999754
32.47;0.7610163250276175
32.47;0.7671535534552596
