estacion;RBI_medio;RBI_sd
Invierno;0.26432576301524124;0.15057277626964774
Otoño;0.42315886243436424;0.23565304286753042
Primavera;0.2075697707151449;0.1200807370696483
Verano;0.08857977915602191;0.06633578178541315
