anio_hidro;estacion;RBI
1975;Otoño;0.10150044130626652
1975;Verano;0.044660194174757285
1976;Invierno;0.15661759266109343
1976;Otoño;0.214520466089035
1976;Primavera;0.07744773390006425
1976;Verano;0.10557299843014131
1977;Invierno;0.11496694049288719
1977;Otoño;0.2468253660052037
1977;Primavera;0.08520843895020083
1977;Verano;0.1283799670820597
1978;Invierno;0.16809531621688134
1978;Otoño;0.2564665308042013
1978;Primavera;0.05822398076730441
1978;Verano;0.025643373935342065
1979;Invierno;0.2130497825036249
1979;Otoño;0.1567948888593105
1979;Primavera;0.07176768124944538
1979;Verano;0.06841021915486134
1980;Invierno;0.0700424499696786
1980;Otoño;0.1149301237557317
1980;Primavera;0.07914672551888312
1980;Verano;0.024286842967349894
1981;Invierno;0.06916791809975939
1981;Otoño;0.13208884483846522
1981;Primavera;0.0803621541547436
1981;Verano;0.06206740390323311
1982;Invierno;0.13662475707774263
1982;Otoño;0.17660381675023354
1982;Primavera;0.07190490664750802
1982;Verano;0.05579475973098018
1983;Invierno;0.08537972935653133
1983;Otoño;0.12006753343678753
1983;Primavera;0.11123124371902829
1983;Verano;0.03256561328334226
1984;Invierno;0.16824790439957693
1984;Otoño;0.15181547076772628
1984;Primavera;0.18570055153569798
1984;Verano;0.1383590333244359
1985;Invierno;0.20679837953605187
1985;Otoño;0.2860346716504478
1985;Primavera;0.10407780242279473
1985;Verano;0.043804455812997446
1986;Invierno;0.1941151659475751
1986;Otoño;0.14942329307574514
1986;Primavera;0.04418591949314546
1986;Verano;0.02543344318670296
1987;Invierno;0.32703811594797516
1987;Otoño;0.22076963727165827
1987;Primavera;0.5224412253621468
1987;Verano;0.12218086616408542
1990;Invierno;0.3390040721830623
1990;Otoño;0.2790071959334398
1990;Primavera;0.1523626783027092
1990;Verano;0.019143166303752488
1991;Invierno;0.38790249585798464
1991;Otoño;0.6422730541382734
1991;Primavera;0.22839386758233787
1991;Verano;0.02251686610528388
1992;Invierno;0.05590614345878735
1992;Otoño;0.12440251049503304
1992;Primavera;0.35791951518793985
1992;Verano;0.042971998891045186
1993;Invierno;0.07333763049758861
1993;Otoño;0.09426500969893865
1993;Primavera;0.21066694932845745
1993;Verano;0.028642187133272358
1994;Invierno;0.2159643656555112
1994;Otoño;0.3056509842880215
1994;Primavera;0.2219807415406768
1994;Verano;0.025937231225863035
1995;Invierno;0.41229820055595884
1995;Otoño;0.49668228575107276
1995;Primavera;0.07508443751623797
1995;Verano;0.12134186391612131
1996;Invierno;0.5210333095942159
1996;Otoño;0.7072294566681635
1996;Primavera;0.38038297504255353
1996;Verano;0.09102697968944724
1997;Invierno;0.4300925566043421
1997;Otoño;0.21053884801295328
1997;Primavera;0.33472041066814
1997;Verano;0.2767248552471039
1998;Invierno;0.4857627390896061
1998;Otoño;0.6217508018522869
1998;Primavera;0.24494320824607108
1998;Verano;0.2007380384749078
1999;Invierno;0.2991809155106283
1999;Otoño;0.7726416959672637
1999;Primavera;0.275688375691241
1999;Verano;0.06079938754027242
2000;Invierno;0.15803984456917286
2000;Otoño;0.5328230674761733
2000;Primavera;0.356992265842755
2000;Verano;0.0314292194537148
2001;Invierno;0.6852279019687143
2001;Otoño;0.6464984415996053
2001;Primavera;0.4987514107623226
2001;Verano;0.035501989234729685
2002;Invierno;0.47794810368496143
2002;Otoño;0.6439607379805506
2002;Primavera;0.1885055869813582
2002;Verano;0.11468834116218925
2003;Invierno;0.1429372140081635
2003;Otoño;0.5380377233081041
2003;Primavera;0.340457731395836
2003;Verano;0.06427188887623818
2004;Invierno;0.16899253628230992
2004;Otoño;0.5677919431970797
2004;Primavera;0.2530887960482861
2004;Verano;0.08332168320984203
2005;Invierno;0.049349759460964156
2005;Otoño;0.6172691252666871
2005;Primavera;0.12957133080321034
2005;Verano;0.06298205991392168
2006;Invierno;0.24141902487588077
2006;Otoño;0.8455239711497667
2006;Primavera;0.37476624297637895
2006;Verano;0.058807033287529106
2007;Invierno;0.2001744525219889
2007;Otoño;0.5375293474649053
2007;Primavera;0.16164945123405036
2007;Verano;0.2484654940646804
2008;Invierno;0.29910251167595725
2008;Otoño;0.9490051584377303
2008;Primavera;0.33839837808836637
2008;Verano;0.061255366227282185
2009;Invierno;0.2546119272824847
2009;Otoño;0.14763974681613665
2009;Primavera;0.04168596247491545
2009;Verano;0.056399366541894626
2010;Invierno;0.43494115017514895
2010;Otoño;0.6383883377201862
2010;Primavera;0.15073103972083982
2010;Verano;0.06001759317690705
2011;Invierno;0.3606851369081088
2011;Otoño;0.7548188974802692
2011;Primavera;0.18360054315458466
2011;Verano;0.1036591057593578
2012;Invierno;0.08031333512435841
2012;Otoño;0.5580084574284021
2012;Primavera;0.27646221989042813
2012;Verano;0.11147941381716685
2013;Invierno;0.2725106897014553
2013;Otoño;0.3708012786735519
2013;Primavera;0.20533408153472188
2013;Verano;0.13973245419387562
2014;Invierno;0.40299054292322134
2014;Otoño;0.40235670298436754
2014;Primavera;0.1899117849311308
2014;Verano;0.07313047526344743
2015;Invierno;0.2387354166503213
2015;Otoño;0.5402629210692037
2015;Primavera;0.24589128130243407
2015;Verano;0.2866158744598591
2016;Invierno;0.3837582788298628
2016;Otoño;0.5012442963877358
2016;Primavera;0.22587256332159047
2016;Verano;0.06572972972972968
2017;Invierno;0.2805764861505641
2017;Otoño;0.5622294161238737
2017;Primavera;0.16965050732807213
2017;Verano;0.21085035781393677
2018;Invierno;0.47739432532773657
2018;Otoño;0.4142422432670705
2018;Primavera;0.2854383945412182
2018;Verano;0.12542488103331073
2019;Invierno;0.1353617225324444
2019;Otoño;0.40313948487599743
2019;Primavera;0.16958780142763039
2019;Verano;0.05355717554408559
2020;Invierno;0.44993145178437993
2020;Otoño;0.7204635911818686
2020;Primavera;0.2995182066536423
2020;Verano;0.07571411732348435
2021;Invierno;0.304705279015353
2021;Otoño;0.5678309922408639
2021;Primavera;0.07336280822527522
2021;Verano;0.09605469625644474
