anio_hidro;mes;Qmax_inst;Qmd_max;fecha;RI;clase_RI;clase_magnitud
1975;6;;;1975-06-20;;;
1975;7;;0.82;1975-07-01;;;
1975;8;;0.35;1975-08-01;;;
1975;9;;0.73;1975-09-01;;;
1976;1;2.31;1.5;1976-01-01;1.54;Rápida;Ordinario
1976;2;6.2;3.9;1976-02-01;1.5897435897435899;Rápida;Ordinario
1976;3;3.9;3.0;1976-03-01;1.3;Moderada;Ordinario
1976;4;5.7;4.7;1976-04-01;1.2127659574468086;Moderada;Ordinario
1976;5;4.0;3.2;1976-05-01;1.25;Moderada;Ordinario
1976;6;1.84;1.11;1976-06-01;1.6576576576576576;Rápida;Ordinario
1976;7;2.02;1.05;1976-07-01;1.9238095238095236;Rápida;Ordinario
1976;8;5.2;1.58;1976-08-01;3.291139240506329;Flash flood;Ordinario
1976;9;14.0;7.9;1976-09-01;1.7721518987341771;Rápida;Notable
1976;10;1.17;0.42;1975-10-01;2.7857142857142856;Flash flood;Ordinario
1976;11;1.17;0.86;1975-11-01;1.3604651162790697;Moderada;Ordinario
1976;12;4.4;3.8;1975-12-01;1.1578947368421053;Progresiva;Ordinario
1977;1;20.38;10.04;1977-01-01;2.0298804780876494;Flash flood;Notable
1977;2;12.68;9.16;1977-02-01;1.3842794759825328;Moderada;Notable
1977;3;6.8;6.8;1977-03-01;1.0;Progresiva;Notable
1977;4;8.83;4.56;1977-04-01;1.93640350877193;Rápida;Notable
1977;5;2.86;2.11;1977-05-01;1.3554502369668247;Moderada;Ordinario
1977;6;8.07;4.03;1977-06-01;2.002481389578164;Flash flood;Notable
1977;7;1.16;0.97;1977-07-01;1.1958762886597938;Progresiva;Ordinario
1977;8;0.55;0.53;1977-08-01;1.0377358490566038;Progresiva;Ordinario
1977;9;0.63;0.51;1977-09-01;1.2352941176470589;Moderada;Ordinario
1977;10;18.73;9.49;1976-10-01;1.9736564805057957;Rápida;Notable
1977;11;34.02;17.85;1976-11-01;1.9058823529411766;Rápida;Notable
1977;12;12.79;8.07;1976-12-01;1.584882280049566;Rápida;Notable
1978;1;6.16;5.52;1978-01-01;1.1159420289855073;Progresiva;Ordinario
1978;2;13.23;12.9;1978-02-01;1.0255813953488373;Progresiva;Notable
1978;3;11.03;10.48;1978-03-01;1.0524809160305342;Progresiva;Notable
1978;4;7.43;7.22;1978-04-01;1.0290858725761773;Progresiva;Notable
1978;5;7.86;7.64;1978-05-01;1.0287958115183247;Progresiva;Notable
1978;6;2.86;2.86;1978-06-01;1.0;Progresiva;Ordinario
1978;7;1.34;1.34;1978-07-01;1.0;Progresiva;Ordinario
1978;8;0.65;0.62;1978-08-01;1.0483870967741935;Progresiva;Ordinario
1978;9;0.45;0.45;1978-09-01;1.0;Progresiva;Ordinario
1978;10;14.22;5.52;1977-10-01;2.5760869565217392;Flash flood;Notable
1978;11;8.28;4.03;1977-11-01;2.054590570719603;Flash flood;Notable
