evento_id;fecha_inicio;fecha_fin;Qmax_evento;Qmed_evento;volumen_total;duracion_dias;Qbase;ratio_Qmax_Qbase
1;1976-08-30;1976-08-30;1.58;1.58;1.58;1;0.42;3.7619047619047623
2;1976-09-25;1976-09-30;7.9;5.316666666666666;31.9;6;0.39;20.256410256410255
3;1976-10-04;1976-10-04;4.14;4.14;4.14;1;3.565714285714285;1.1610576923076925
4;1976-10-11;1976-10-14;9.49;6.245;24.98;4;2.3542857142857145;4.030946601941747
5;1976-10-28;1976-10-29;4.45;4.24;8.48;2;2.4657142857142853;1.804750869061414
6;1976-11-09;1976-11-10;17.85;14.330000000000002;28.660000000000004;2;4.36;4.094036697247707
7;1976-12-07;1976-12-07;8.07;8.07;8.07;1;3.607142857142857;2.2372277227722774
8;1977-01-15;1977-01-15;10.04;10.04;10.04;1;5.017142857142858;2.0011389521640086
9;1977-02-02;1977-02-02;8.28;8.28;8.28;1;6.778571428571428;1.2214963119072708
10;1977-02-19;1977-02-21;9.16;8.573333333333332;25.72;3;5.957142857142856;1.5376498800959235
11;1977-03-01;1977-03-01;6.8;6.8;6.8;1;6.994285714285714;0.9722222222222223
12;1977-06-12;1977-06-12;4.03;4.03;4.03;1;1.367142857142857;2.947753396029259
13;1977-10-09;1977-10-09;4.67;4.67;4.67;1;0.9357142857142856;4.990839694656489
14;1977-10-18;1977-10-18;4.67;4.67;4.67;1;1.01;4.623762376237623
15;1977-10-23;1977-10-23;5.52;5.52;5.52;1;2.742857142857143;2.0124999999999997
16;1977-12-09;1977-12-09;8.28;8.28;8.28;1;4.168571428571428;1.9862919808087731
17;1977-12-11;1977-12-12;8.5;8.18;16.36;2;5.775714285714286;1.4716794459559732
18;1977-12-14;1977-12-16;13.78;11.653333333333334;34.96;3;7.478571428571428;1.8425978987583573
19;1977-12-19;1977-12-21;14.88;13.340000000000002;40.02;3;8.94;1.6644295302013425
20;1978-02-20;1978-02-20;8.5;8.5;8.5;1;4.288571428571429;1.9820119920053296
21;1978-02-23;1978-03-07;12.9;9.820769230769232;127.67;13;6.339999999999999;2.0347003154574135
22;1978-05-03;1978-05-08;7.64;6.316666666666666;37.9;6;5.825714285714286;1.3114271701814615
23;1978-12-16;1978-12-16;7.86;7.86;7.86;1;;
24;1979-01-28;1979-01-29;11.8;10.92;21.84;2;5.8933333333333335;2.002262443438914
25;1979-02-01;1979-02-14;26.98;11.619285714285713;162.67;14;7.2457142857142856;3.7235804416403786
26;1979-03-17;1979-03-17;7.96;7.96;7.96;1;4.605714285714285;1.7282878411910672
27;1979-03-24;1979-03-29;9.38;8.006666666666666;48.04;6;6.159999999999999;1.522727272727273
28;1979-03-31;1979-03-31;6.37;6.37;6.37;1;7.667142857142857;0.8308179616172908
29;1979-04-10;1979-04-11;8.83;8.345;16.69;2;5.5842857142857145;1.5812228191353286
30;1979-10-06;1979-10-31;11.578;6.293653846153846;163.635;26;0.5800000000000001;19.962068965517236
31;1980-03-28;1980-03-29;7.43;6.9;13.8;2;3.544571428571429;2.09616314686442
32;1980-05-12;1980-05-12;6.794;6.794;6.794;1;3.758;1.8078765300691857
33;1980-06-23;1980-06-25;2.966;2.9659999999999997;8.898;3;1.7635714285714286;1.6818144997974889
34;1980-06-29;1980-09-28;4.565;3.8998913043478263;358.79;92;2.8137142857142856;1.622410641754671
35;1980-10-04;1980-10-05;4.139;4.139;8.278;2;2.897142857142857;1.428648915187377
36;1980-10-11;1980-10-12;4.032;4.032;8.064;2;3.879857142857143;1.0392135203799846
37;1980-10-16;1980-10-19;4.778;4.2185;16.874;4;3.7121428571428567;1.2871271887627478
38;1980-10-25;1980-10-26;4.032;4.032;8.064;2;3.7274285714285713;1.0817108692319486
39;1980-11-12;1980-11-12;10.258;10.258;10.258;1;3.255285714285715;3.1511826918857238
40;1981-03-01;1981-03-01;7.218;7.218;7.218;1;1.4207142857142858;5.080542986425339
41;1981-05-09;1981-05-09;5.946;5.946;5.946;1;3.026857142857143;1.9644138191429108
42;1981-06-01;1981-06-06;3.392;3.125833333333333;18.755;6;3.4535714285714287;0.982171664943123
43;1981-07-01;1981-09-30;8.278;4.2958804347826085;395.221;92;2.3567142857142858;3.5125174274110447
44;1981-10-03;1981-10-09;6.794;4.853000000000001;33.971000000000004;7;4.501428571428572;1.5092986353538558
45;1981-12-22;1981-12-24;8.718;8.177333333333333;24.532;3;4.428;1.9688346883468835
46;1981-12-28;1981-12-28;11.578;11.578;11.578;1;6.7205714285714295;1.72277017260437
47;1982-01-17;1982-01-17;9.598;9.598;9.598;1;5.597;1.7148472395926389
48;1982-06-03;1982-06-03;2.966;2.966;2.966;1;2.1577142857142855;1.3746027542372883
49;1982-07-10;1982-09-09;5.946;4.8161129032258065;298.599;62;1.421714285714286;4.182274919614147
50;1982-09-12;1982-09-12;2.007;2.007;2.007;1;2.021857142857143;0.9926517346145695
